"StudentNumber","StudentName","email","password"
"11141311","OD MASEKO","11141311@mylife.unisa.ac.za",
"11153623","KY MAKHAFOLA","11153623@mylife.unisa.ac.za",
"11162384","QP KALENGA","11162384@mylife.unisa.ac.za",
"11207520","UU MAPHUTHA","11207520@mylife.unisa.ac.za",
"11260693","EU UBISI","11260693@mylife.unisa.ac.za",
"11261613","PT NGQENGELELE","11261613@mylife.unisa.ac.za",
"11276374","QD MACHETE","11276374@mylife.unisa.ac.za",
"11286271","TN MMOLOTSI","11286271@mylife.unisa.ac.za",
"11296841","EX MPHAHLELE","11296841@mylife.unisa.ac.za",
"11348843","UX SEWNARAIN","11348843@mylife.unisa.ac.za",
"11350641","CK GONDO","11350641@mylife.unisa.ac.za",
"11357287","CV MANDIPIRA","11357287@mylife.unisa.ac.za",
"11372737","XH THWALA","11372737@mylife.unisa.ac.za",
"11384884","RQ SIBINDLANA","11384884@mylife.unisa.ac.za",
"11447994","VJ MHLONGO","11447994@mylife.unisa.ac.za",
"11477936","SR HANKEY","11477936@mylife.unisa.ac.za",
"11483332","XO CHARUMBIRA","11483332@mylife.unisa.ac.za",
"11490131","W  MOKOENA","11490131@mylife.unisa.ac.za",
"11492193","EP GILL","11492193@mylife.unisa.ac.za",
"11523952","UD CHINYANGA","11523952@mylife.unisa.ac.za",
"11533815","U  MANGOUA MENDJIYA","11533815@mylife.unisa.ac.za",
"11536884","PB MTJWARA","11536884@mylife.unisa.ac.za",
"11566745","VN MAKHUDU","11566745@mylife.unisa.ac.za",
"11582146","KM MAPHWANYA","11582146@mylife.unisa.ac.za",
"11627788","JD WILLIAMS","11627788@mylife.unisa.ac.za",
"11628404","OA MAPETA","11628404@mylife.unisa.ac.za",
"11634229","Z  NKHUMELENI","11634229@mylife.unisa.ac.za",
"11641994","FK MPHAHLELE","11641994@mylife.unisa.ac.za",
"11642685","KW VAN DER MERWE","11642685@mylife.unisa.ac.za",
"11648513","ZS THUPAYAKGOSI","11648513@mylife.unisa.ac.za",
"11676666","SB STEVENSON","11676666@mylife.unisa.ac.za",
"11702638","UP NAMWIHA","11702638@mylife.unisa.ac.za",
"11704823","WI MUNYAI","11704823@mylife.unisa.ac.za",
"11713318","RJ MOTSHUMI","11713318@mylife.unisa.ac.za",
"11747258","MV MASHA","11747258@mylife.unisa.ac.za",
"11823496","A  MTSHALI","11823496@mylife.unisa.ac.za",
"11855287","VY MANSOOR","11855287@mylife.unisa.ac.za",
"11885511","UP TSOTETSI","11885511@mylife.unisa.ac.za",
"11963068","QP GWEBU","11963068@mylife.unisa.ac.za",
"11978715","IQ BONKE","11978715@mylife.unisa.ac.za",
"12010166","MF MANANA","12010166@mylife.unisa.ac.za",
"12047951","DA NKAMBULE","12047951@mylife.unisa.ac.za",
"12053803","IB MARAGENI","12053803@mylife.unisa.ac.za",
"12057012","GT PILLAY","12057012@mylife.unisa.ac.za",
"12068986","SF VALLABH","12068986@mylife.unisa.ac.za",
"12069979","PU MANSFIELD","12069979@mylife.unisa.ac.za",
